each row consists of groups of data for each agent, in form:	agentNum(learningParameter):choice,fitness,[expA,expB,expC]where choice has letter chosen and reward received
each column consists of every trial for the same agent.
this entire file is from Generation 0

0(0.5):B220,000.00,[100.00,160.00,100.00]	5(0.5):A100,000.00,[100.00,100.00,100.00]	10(0.5):C180,000.00,[100.00,100.00,140.00]	15(0.5):B000,000.00,[100.00,050.00,100.00]	20(0.5):C000,000.00,[100.00,100.00,050.00]	25(0.5):B000,000.00,[100.00,050.00,100.00]	30(0.5):A100,000.00,[100.00,100.00,100.00]	35(0.5):B220,000.00,[100.00,160.00,100.00]	40(0.5):B000,000.00,[100.00,050.00,100.00]	45(0.5):B220,000.00,[100.00,160.00,100.00]	
0(0.5):A100,000.00,[100.00,046.25,050.00]	5(0.5):C000,000.00,[100.00,050.00,083.75]	10(0.5):A100,000.00,[100.00,050.00,035.00]	15(0.5):B000,000.00,[100.00,025.00,050.00]	20(0.5):B000,000.00,[100.00,025.00,073.75]	25(0.5):A100,000.00,[100.00,050.00,025.00]	30(0.5):A100,000.00,[100.00,050.00,035.00]	35(0.5):A100,000.00,[100.00,080.00,080.00]	40(0.5):B000,000.00,[100.00,095.06,100.00]	45(0.5):C000,000.00,[100.00,101.25,057.50]	
0(0.5):A100,000.00,[100.00,046.25,050.00]	5(0.5):C000,000.00,[100.00,050.00,041.88]	10(0.5):A100,000.00,[100.00,050.00,035.00]	15(0.5):A100,000.00,[100.00,025.00,050.00]	20(0.5):A100,000.00,[100.00,025.00,073.75]	25(0.5):A100,000.00,[100.00,050.00,025.00]	30(0.5):A100,000.00,[100.00,050.00,035.00]	35(0.5):A100,000.00,[100.00,080.00,080.00]	40(0.5):C000,000.00,[100.00,095.06,050.00]	45(0.5):A100,000.00,[100.00,101.25,057.50]	
0(0.5):A100,000.00,[100.00,046.25,050.00]	5(0.5):A100,000.00,[100.00,050.00,041.88]	10(0.5):A100,000.00,[100.00,050.00,035.00]	15(0.5):C180,000.00,[100.00,025.00,115.00]	20(0.5):A100,000.00,[100.00,025.00,073.75]	25(0.5):A100,000.00,[100.00,050.00,025.00]	30(0.5):A100,000.00,[100.00,050.00,035.00]	35(0.5):A100,000.00,[100.00,080.00,080.00]	40(0.5):B220,000.00,[100.00,157.53,050.00]	45(0.5):B220,000.00,[100.00,160.63,057.50]	
0(0.5):A100,000.00,[100.00,046.25,050.00]	5(0.5):A100,000.00,[100.00,050.00,041.88]	10(0.5):A100,000.00,[100.00,050.00,035.00]	15(0.5):C000,000.00,[100.00,025.00,057.50]	20(0.5):A100,000.00,[100.00,025.00,073.75]	25(0.5):A100,000.00,[100.00,050.00,025.00]	30(0.5):A100,000.00,[100.00,050.00,035.00]	35(0.5):A100,000.00,[100.00,080.00,080.00]	40(0.5):B000,000.00,[100.00,078.76,050.00]	45(0.5):B220,000.00,[100.00,190.31,057.50]	
0(0.5):A100,000.00,[100.00,046.25,050.00]	5(0.5):A100,000.00,[100.00,050.00,041.88]	10(0.5):A100,000.00,[100.00,050.00,035.00]	15(0.5):A100,000.00,[100.00,025.00,057.50]	20(0.5):A100,000.00,[100.00,025.00,073.75]	25(0.5):A100,000.00,[100.00,050.00,025.00]	30(0.5):A100,000.00,[100.00,050.00,035.00]	35(0.5):A100,000.00,[100.00,080.00,080.00]	40(0.5):C000,000.00,[100.00,078.76,025.00]	45(0.5):B000,000.00,[100.00,095.16,057.50]	
0(0.5):A100,000.00,[100.00,046.25,050.00]	5(0.5):A100,000.00,[100.00,050.00,041.88]	10(0.5):B000,000.00,[100.00,025.00,035.00]	15(0.5):C180,000.00,[100.00,025.00,118.75]	20(0.5):B000,000.00,[100.00,012.50,073.75]	25(0.5):A100,000.00,[100.00,050.00,025.00]	30(0.5):A100,000.00,[100.00,050.00,035.00]	35(0.5):C180,000.00,[100.00,080.00,130.00]	40(0.5):A100,000.00,[100.00,078.76,025.00]	45(0.5):A100,000.00,[100.00,095.16,057.50]	
0(0.5):A100,000.00,[100.00,046.25,050.00]	5(0.5):A100,000.00,[100.00,050.00,041.88]	10(0.5):A100,000.00,[100.00,025.00,035.00]	15(0.5):C000,000.00,[100.00,025.00,059.38]	20(0.5):A100,000.00,[100.00,012.50,073.75]	25(0.5):A100,000.00,[100.00,050.00,025.00]	30(0.5):A100,000.00,[100.00,050.00,035.00]	35(0.5):C000,000.00,[100.00,080.00,065.00]	40(0.5):A100,000.00,[100.00,078.76,025.00]	45(0.5):B000,000.00,[100.00,047.58,057.50]	
0(0.5):A100,000.00,[100.00,046.25,050.00]	5(0.5):B220,000.00,[100.00,135.00,041.88]	10(0.5):A100,000.00,[100.00,025.00,035.00]	15(0.5):A100,000.00,[100.00,025.00,059.38]	20(0.5):A100,000.00,[100.00,012.50,073.75]	25(0.5):A100,000.00,[100.00,050.00,025.00]	30(0.5):A100,000.00,[100.00,050.00,035.00]	35(0.5):A100,000.00,[100.00,080.00,065.00]	40(0.5):A100,000.00,[100.00,078.76,025.00]	45(0.5):A100,000.00,[100.00,047.58,057.50]	
0(0.5):A100,000.00,[100.00,046.25,050.00]	5(0.5):B000,000.00,[100.00,067.50,041.88]	10(0.5):A100,000.00,[100.00,025.00,035.00]	15(0.5):A100,000.00,[100.00,025.00,059.38]	20(0.5):A100,000.00,[100.00,012.50,073.75]	25(0.5):A100,000.00,[100.00,050.00,025.00]	30(0.5):A100,000.00,[100.00,050.00,035.00]	35(0.5):A100,000.00,[100.00,080.00,065.00]	40(0.5):A100,000.00,[100.00,078.76,025.00]	45(0.5):A100,000.00,[100.00,047.58,057.50]	
0(0.5):C000,000.00,[100.00,046.25,025.00]	5(0.5):A100,000.00,[100.00,067.50,041.88]	10(0.5):A100,000.00,[100.00,025.00,035.00]	15(0.5):C180,000.00,[100.00,025.00,119.69]	20(0.5):C000,000.00,[100.00,012.50,036.88]	25(0.5):A100,000.00,[100.00,050.00,025.00]	30(0.5):A100,000.00,[100.00,050.00,035.00]	35(0.5):A100,000.00,[100.00,080.00,065.00]	40(0.5):A100,000.00,[100.00,078.76,025.00]	45(0.5):A100,000.00,[100.00,047.58,057.50]	
0(0.5):A100,000.00,[100.00,046.25,025.00]	5(0.5):A100,000.00,[100.00,067.50,041.88]	10(0.5):A100,000.00,[100.00,025.00,035.00]	15(0.5):A100,000.00,[100.00,025.00,119.69]	20(0.5):A100,000.00,[100.00,012.50,036.88]	25(0.5):A100,000.00,[100.00,050.00,025.00]	30(0.5):A100,000.00,[100.00,050.00,035.00]	35(0.5):A100,000.00,[100.00,080.00,065.00]	40(0.5):A100,000.00,[100.00,078.76,025.00]	45(0.5):C180,000.00,[100.00,047.58,118.75]	
0(0.5):A100,000.00,[100.00,046.25,025.00]	5(0.5):A100,000.00,[100.00,067.50,041.88]	10(0.5):A100,000.00,[100.00,025.00,035.00]	15(0.5):C180,000.00,[100.00,025.00,149.84]	20(0.5):A100,000.00,[100.00,012.50,036.88]	25(0.5):B000,000.00,[100.00,025.00,025.00]	30(0.5):A100,000.00,[100.00,050.00,035.00]	35(0.5):B220,000.00,[100.00,150.00,065.00]	40(0.5):A100,000.00,[100.00,078.76,025.00]	45(0.5):C180,000.00,[100.00,047.58,149.38]	
0(0.5):A100,000.00,[100.00,046.25,025.00]	5(0.5):A100,000.00,[100.00,067.50,041.88]	10(0.5):A100,000.00,[100.00,025.00,035.00]	15(0.5):C180,000.00,[100.00,025.00,164.92]	20(0.5):A100,000.00,[100.00,012.50,036.88]	25(0.5):A100,000.00,[100.00,025.00,025.00]	30(0.5):C180,000.00,[100.00,050.00,107.50]	35(0.5):C180,000.00,[100.00,150.00,122.50]	40(0.5):A100,000.00,[100.00,078.76,025.00]	45(0.5):C180,000.00,[100.00,047.58,164.69]	
0(0.5):A100,000.00,[100.00,046.25,025.00]	5(0.5):C000,000.00,[100.00,067.50,020.94]	10(0.5):A100,000.00,[100.00,025.00,035.00]	15(0.5):C180,000.00,[100.00,025.00,172.46]	20(0.5):A100,000.00,[100.00,012.50,036.88]	25(0.5):A100,000.00,[100.00,025.00,025.00]	30(0.5):A100,000.00,[100.00,050.00,107.50]	35(0.5):A100,000.00,[100.00,150.00,122.50]	40(0.5):A100,000.00,[100.00,078.76,025.00]	45(0.5):C000,000.00,[100.00,047.58,082.34]	
0(0.5):B220,000.00,[100.00,133.13,025.00]	5(0.5):A100,000.00,[100.00,067.50,020.94]	10(0.5):A100,000.00,[100.00,025.00,035.00]	15(0.5):C180,000.00,[100.00,025.00,176.23]	20(0.5):A100,000.00,[100.00,012.50,036.88]	25(0.5):B000,000.00,[100.00,012.50,025.00]	30(0.5):A100,000.00,[100.00,050.00,107.50]	35(0.5):B000,000.00,[100.00,075.00,122.50]	40(0.5):A100,000.00,[100.00,078.76,025.00]	45(0.5):C180,000.00,[100.00,047.58,131.17]	
0(0.5):A100,000.00,[100.00,133.13,025.00]	5(0.5):A100,000.00,[100.00,067.50,020.94]	10(0.5):A100,000.00,[100.00,025.00,035.00]	15(0.5):C000,000.00,[100.00,025.00,088.12]	20(0.5):A100,000.00,[100.00,012.50,036.88]	25(0.5):A100,000.00,[100.00,012.50,025.00]	30(0.5):A100,000.00,[100.00,050.00,107.50]	35(0.5):C180,000.00,[100.00,075.00,151.25]	40(0.5):A100,000.00,[100.00,078.76,025.00]	45(0.5):C000,000.00,[100.00,047.58,065.59]	
0(0.5):B220,000.00,[100.00,176.56,025.00]	5(0.5):A100,000.00,[100.00,067.50,020.94]	10(0.5):A100,000.00,[100.00,025.00,035.00]	15(0.5):C000,000.00,[100.00,025.00,044.06]	20(0.5):A100,000.00,[100.00,012.50,036.88]	25(0.5):A100,000.00,[100.00,012.50,025.00]	30(0.5):A100,000.00,[100.00,050.00,107.50]	35(0.5):C180,000.00,[100.00,075.00,165.63]	40(0.5):A100,000.00,[100.00,078.76,025.00]	45(0.5):A100,000.00,[100.00,047.58,065.59]	
0(0.5):B220,000.00,[100.00,198.28,025.00]	5(0.5):A100,000.00,[100.00,067.50,020.94]	10(0.5):A100,000.00,[100.00,025.00,035.00]	15(0.5):A100,000.00,[100.00,025.00,044.06]	20(0.5):A100,000.00,[100.00,012.50,036.88]	25(0.5):A100,000.00,[100.00,012.50,025.00]	30(0.5):A100,000.00,[100.00,050.00,107.50]	35(0.5):C180,000.00,[100.00,075.00,172.81]	40(0.5):A100,000.00,[100.00,078.76,025.00]	45(0.5):A100,000.00,[100.00,047.58,065.59]	
0(0.5):B000,000.00,[100.00,099.14,025.00]	5(0.5):A100,000.00,[100.00,067.50,020.94]	10(0.5):A100,000.00,[100.00,025.00,035.00]	15(0.5):A100,000.00,[100.00,025.00,044.06]	20(0.5):A100,000.00,[100.00,012.50,036.88]	25(0.5):A100,000.00,[100.00,012.50,025.00]	30(0.5):C180,000.00,[100.00,050.00,143.75]	35(0.5):C180,000.00,[100.00,075.00,176.41]	40(0.5):A100,000.00,[100.00,078.76,025.00]	45(0.5):B220,000.00,[100.00,133.79,065.59]	
0(0.5):A100,000.00,[100.00,099.14,025.00]	5(0.5):A100,000.00,[100.00,067.50,020.94]	10(0.5):A100,000.00,[100.00,025.00,035.00]	15(0.5):A100,000.00,[100.00,025.00,044.06]	20(0.5):A100,000.00,[100.00,012.50,036.88]	25(0.5):A100,000.00,[100.00,012.50,025.00]	30(0.5):C180,000.00,[100.00,050.00,161.88]	35(0.5):C180,000.00,[100.00,075.00,178.20]	40(0.5):A100,000.00,[100.00,078.76,025.00]	45(0.5):B220,000.00,[100.00,176.89,065.59]	
0(0.5):B220,000.00,[100.00,159.57,025.00]	5(0.5):A100,000.00,[100.00,067.50,020.94]	10(0.5):A100,000.00,[100.00,025.00,035.00]	15(0.5):A100,000.00,[100.00,025.00,044.06]	20(0.5):A100,000.00,[100.00,012.50,036.88]	25(0.5):A100,000.00,[100.00,012.50,025.00]	30(0.5):C000,000.00,[100.00,050.00,080.94]	35(0.5):C180,000.00,[100.00,075.00,179.10]	40(0.5):A100,000.00,[100.00,078.76,025.00]	45(0.5):B220,000.00,[100.00,198.45,065.59]	
0(0.5):B000,000.00,[100.00,079.79,025.00]	5(0.5):A100,000.00,[100.00,067.50,020.94]	10(0.5):A100,000.00,[100.00,025.00,035.00]	15(0.5):A100,000.00,[100.00,025.00,044.06]	20(0.5):A100,000.00,[100.00,012.50,036.88]	25(0.5):A100,000.00,[100.00,012.50,025.00]	30(0.5):C000,000.00,[100.00,050.00,040.47]	35(0.5):C180,000.00,[100.00,075.00,179.55]	40(0.5):B000,000.00,[100.00,039.38,025.00]	45(0.5):B000,000.00,[100.00,099.22,065.59]	
0(0.5):A100,000.00,[100.00,079.79,025.00]	5(0.5):A100,000.00,[100.00,067.50,020.94]	10(0.5):A100,000.00,[100.00,025.00,035.00]	15(0.5):A100,000.00,[100.00,025.00,044.06]	20(0.5):C000,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,025.00]	30(0.5):A100,000.00,[100.00,050.00,040.47]	35(0.5):C000,000.00,[100.00,075.00,089.78]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):B000,000.00,[100.00,049.61,065.59]	
0(0.5):A100,000.00,[100.00,079.79,025.00]	5(0.5):A100,000.00,[100.00,067.50,020.94]	10(0.5):A100,000.00,[100.00,025.00,035.00]	15(0.5):C180,000.00,[100.00,025.00,112.03]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,025.00]	30(0.5):A100,000.00,[100.00,050.00,040.47]	35(0.5):C180,000.00,[100.00,075.00,134.89]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,049.61,065.59]	
0(0.5):A100,000.00,[100.00,079.79,025.00]	5(0.5):A100,000.00,[100.00,067.50,020.94]	10(0.5):A100,000.00,[100.00,025.00,035.00]	15(0.5):C180,000.00,[100.00,025.00,146.01]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,025.00]	30(0.5):A100,000.00,[100.00,050.00,040.47]	35(0.5):C180,000.00,[100.00,075.00,157.44]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,049.61,065.59]	
0(0.5):B220,000.00,[100.00,149.89,025.00]	5(0.5):A100,000.00,[100.00,067.50,020.94]	10(0.5):A100,000.00,[100.00,025.00,035.00]	15(0.5):C000,000.00,[100.00,025.00,073.01]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,025.00]	30(0.5):A100,000.00,[100.00,050.00,040.47]	35(0.5):C000,000.00,[100.00,075.00,078.72]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,049.61,065.59]	
0(0.5):B220,000.00,[100.00,184.95,025.00]	5(0.5):A100,000.00,[100.00,067.50,020.94]	10(0.5):A100,000.00,[100.00,025.00,035.00]	15(0.5):A100,000.00,[100.00,025.00,073.01]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,025.00]	30(0.5):A100,000.00,[100.00,050.00,040.47]	35(0.5):A100,000.00,[100.00,075.00,078.72]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,049.61,065.59]	
0(0.5):B220,000.00,[100.00,202.47,025.00]	5(0.5):B000,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,035.00]	15(0.5):C180,000.00,[100.00,025.00,126.50]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,025.00]	30(0.5):A100,000.00,[100.00,050.00,040.47]	35(0.5):B220,000.00,[100.00,147.50,078.72]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,049.61,065.59]	
0(0.5):B000,000.00,[100.00,101.24,025.00]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):C000,000.00,[100.00,025.00,017.50]	15(0.5):C180,000.00,[100.00,025.00,153.25]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,025.00]	30(0.5):B000,000.00,[100.00,025.00,040.47]	35(0.5):B220,000.00,[100.00,183.75,078.72]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,049.61,065.59]	
0(0.5):A100,000.00,[100.00,101.24,025.00]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):C000,000.00,[100.00,025.00,076.63]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,025.00]	30(0.5):A100,000.00,[100.00,025.00,040.47]	35(0.5):B000,000.00,[100.00,091.88,078.72]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,049.61,065.59]	
0(0.5):A100,000.00,[100.00,101.24,025.00]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,025.00,076.63]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,025.00]	30(0.5):A100,000.00,[100.00,025.00,040.47]	35(0.5):A100,000.00,[100.00,091.88,078.72]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,049.61,065.59]	
0(0.5):B220,000.00,[100.00,160.62,025.00]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,025.00,076.63]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,025.00]	30(0.5):A100,000.00,[100.00,025.00,040.47]	35(0.5):B220,000.00,[100.00,155.94,078.72]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,049.61,065.59]	
0(0.5):B000,000.00,[100.00,080.31,025.00]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,025.00,076.63]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,025.00]	30(0.5):A100,000.00,[100.00,025.00,040.47]	35(0.5):B220,000.00,[100.00,187.97,078.72]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,049.61,065.59]	
0(0.5):B220,000.00,[100.00,150.15,025.00]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):B000,000.00,[100.00,012.50,076.63]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,025.00]	30(0.5):A100,000.00,[100.00,025.00,040.47]	35(0.5):B220,000.00,[100.00,203.98,078.72]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,049.61,065.59]	
0(0.5):B220,000.00,[100.00,185.08,025.00]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,012.50,076.63]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,025.00]	30(0.5):A100,000.00,[100.00,025.00,040.47]	35(0.5):B220,000.00,[100.00,211.99,078.72]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,049.61,065.59]	
0(0.5):B220,000.00,[100.00,202.54,025.00]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,012.50,076.63]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,025.00]	30(0.5):A100,000.00,[100.00,025.00,040.47]	35(0.5):B220,000.00,[100.00,216.00,078.72]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,049.61,065.59]	
0(0.5):B000,000.00,[100.00,101.27,025.00]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,012.50,076.63]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,025.00]	30(0.5):B220,000.00,[100.00,122.50,040.47]	35(0.5):B000,000.00,[100.00,108.00,078.72]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):C000,000.00,[100.00,049.61,032.79]	
0(0.5):A100,000.00,[100.00,101.27,025.00]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):A100,000.00,[100.00,012.50,076.63]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,025.00]	30(0.5):B220,000.00,[100.00,171.25,040.47]	35(0.5):B000,000.00,[100.00,054.00,078.72]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,049.61,032.79]	
0(0.5):A100,000.00,[100.00,101.27,025.00]	5(0.5):A100,000.00,[100.00,033.75,020.94]	10(0.5):A100,000.00,[100.00,025.00,017.50]	15(0.5):C000,000.00,[100.00,012.50,038.31]	20(0.5):A100,000.00,[100.00,012.50,018.44]	25(0.5):A100,000.00,[100.00,012.50,025.00]	30(0.5):B220,000.00,[100.00,195.63,040.47]	35(0.5):A100,000.00,[100.00,054.00,078.72]	40(0.5):A100,000.00,[100.00,039.38,025.00]	45(0.5):A100,000.00,[100.00,049.61,032.79]	
